attempt_id,device_suffix,sample_label_name,samples,share_pct
2,gateway_A,mqtt_bruteforce,52,7.4074074074074066
2,gateway_A,normal,492,70.08547008547008
2,gateway_A,scan_A,58,8.262108262108262
2,gateway_A,,100,14.245014245014245
2,gateway_B,mqtt_bruteforce,48,7.2617246596066565
2,gateway_B,normal,504,76.2481089258699
2,gateway_B,scan_A,49,7.413010590015129
2,gateway_B,,60,9.07715582450832
3,gateway_A,mqtt_bruteforce,59,8.428571428571429
3,gateway_A,normal,499,71.28571428571429
3,gateway_A,scan_A,42,6.0
3,gateway_A,,100,14.285714285714285
3,gateway_B,mqtt_bruteforce,52,7.854984894259818
3,gateway_B,normal,499,75.37764350453172
3,gateway_B,scan_A,51,7.7039274924471295
3,gateway_B,,60,9.06344410876133
4,gateway_A,mqtt_bruteforce,51,7.275320970042796
4,gateway_A,normal,490,69.90014265335235
4,gateway_A,scan_A,60,8.559201141226819
4,gateway_A,,100,14.265335235378032
4,gateway_B,normal,604,90.96385542168674
4,gateway_B,,60,9.036144578313253
5,gateway_A,mqtt_bruteforce,54,7.584269662921349
5,gateway_A,normal,508,71.34831460674157
5,gateway_A,scan_A,50,7.02247191011236
5,gateway_A,,100,14.04494382022472
5,gateway_B,normal,620,91.17647058823529
5,gateway_B,,60,8.823529411764707
6,gateway_A,mqtt_bruteforce,132,18.75
6,gateway_A,normal,370,52.55681818181818
6,gateway_A,scan_A,102,14.488636363636365
6,gateway_A,,100,14.204545454545455
6,gateway_B,mqtt_bruteforce,123,18.49624060150376
6,gateway_B,normal,381,57.29323308270676
6,gateway_B,scan_A,101,15.18796992481203
6,gateway_B,,60,9.022556390977442
7,gateway_A,mqtt_bruteforce,130,18.544935805991443
7,gateway_A,normal,351,50.07132667617689
7,gateway_A,scan_A,120,17.118402282453637
7,gateway_A,,100,14.265335235378032
7,gateway_B,mqtt_bruteforce,124,18.759455370650528
7,gateway_B,normal,357,54.0090771558245
7,gateway_B,scan_A,120,18.15431164901664
7,gateway_B,,60,9.07715582450832
