experiment,architecture,security,topology,mode,attempt_id,attempt_key,total_transport_events,total_ascon_ops,edge_processing_p95_ms,edge_payload_wire_bytes_avg,server_ingress_processing_p95_ms,server_egress_processing_p95_ms,avg_transport_overhead_pct,rounds_observed,round_completion_rate,last_global_accuracy,last_global_loss,avg_round_duration_sec,p95_round_duration_sec,local_accuracy_avg,local_loss_avg
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,CNN_FOG_ASCON#2,1403,1403,4.410699999999999,231.5137157107232,52.86210000000001,52.15450000000001,92.24256356825136,20.0,0.6666666666666666,0.95,0.127952,58.63157894736842,60.39999999999999,0.9433333247900009,0.18735738316318018
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,CNN_FOG_ASCON#3,1402,1402,4.5489500000000005,231.60232945091514,24.199400000000004,20.49975,92.21199279526894,20.0,0.6666666666666666,0.95,0.140719,58.94736842105263,64.1,0.9249999970197678,0.2538406622596085
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,CNN_FOG_ASCON#4,1405,1405,4.509,232.48215767634855,30.76385,18.98170000000001,91.91135680177763,20.0,0.6666666666666666,1.0,0.071088,58.578947368421055,60.39999999999999,0.936666664481163,0.13567922398433435
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,CNN_FOG_ASCON#5,1432,1432,4.61345,232.7305194805195,80.06650000000003,110.27710000000005,91.9405450944426,20.0,0.6666666666666666,1.0,0.024727,58.78947368421053,61.199999999999996,0.9674999952316284,0.12974791790475132
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,6,CNN_FOG_ASCON#6,1409,1409,4.594799999999999,228.8775847808106,21.0146,16.853800000000007,93.54588319197956,20.0,0.6666666666666666,0.95,0.150578,58.31578947368421,59.099999999999994,0.8883333280682564,0.2976895647123456
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,7,CNN_FOG_ASCON#7,1402,1402,4.53545,227.96505823627288,21.796699999999998,21.13285,94.00820669867099,20.0,0.6666666666666666,1.0,0.03105,58.36842105263158,60.0,0.9174999922513962,0.27052879189141094
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,8,CNN_FOG_ASCON#8,40,40,,,31.566050000000025,42.71340000000003,35.86314168739763,,,,,,,,
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,CNN_FOG_NO_ASCON#2,1407,0,0.17070000000000005,114.92874896437448,0.0,0.4456000000000001,0.0,20.0,0.6666666666666666,0.95,0.137464,59.63157894736842,69.7999999999996,0.9049999937415123,0.2946890420280397
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,CNN_FOG_NO_ASCON#4,1408,0,0.15064999999999987,115.92218543046357,0.0,0.46395000000000003,0.0,20.0,0.6666666666666666,0.966667,0.070961,50.0,50.59999999999999,0.9301587258066449,0.20487782699222276
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,CNN_FOG_NO_ASCON#6,1540,0,0.1603499999999999,113.06671664167916,0.0,0.5394500000000001,0.0,20.0,0.6666666666666666,0.916667,0.148495,54.94736842105263,59.99999999999979,0.8590909012339332,0.3523793162947351
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,1411,1411,4.561,231.14134849715677,31.396699999999985,22.066150000000004,93.40845499726116,20.0,0.6666666666666666,0.983333,0.062082,59.526315789473685,61.79999999999998,0.9499999940395355,0.15344988797733092
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,1382,1382,4.5756,231.74542429284526,29.367199999999954,21.5837,93.03557853379043,20.0,0.6666666666666666,0.983333,0.034544,58.63157894736842,59.39999999999999,0.9441666573286056,0.19088568938896058
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,1383,1383,4.516299999999999,231.45386533665837,15.824149999999996,17.19525,93.18135387835252,20.0,0.6666666666666666,0.95,0.12126,58.73684210526316,60.39999999999999,0.9508333221077919,0.18645735671743752
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,1387,1387,4.5364,233.0,18.883749999999992,19.542050000000007,92.48786303750391,20.0,0.6666666666666666,1.0,0.034302,58.94736842105263,61.3,0.9699999958276748,0.100230302127602
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,1381,1381,4.5269,232.667497921862,15.311549999999965,14.2596,92.61668853142127,20.0,0.6666666666666666,0.983333,0.025146,58.89473684210526,60.3,0.9683333292603493,0.11706997232395219
CNN_ASCON,CNN,ASCON,standard,ascon,6,CNN_ASCON#6,1390,1390,4.50875,232.55371900826447,22.444249999999993,24.02595000000001,92.71578791641774,20.0,0.6666666666666666,0.883333,0.288282,59.78947368421053,64.39999999999999,0.9483333274722099,0.16840386831318024
CNN_ASCON,CNN,ASCON,standard,ascon,7,CNN_ASCON#7,1382,1382,4.5988500000000005,228.80033277870217,18.825499999999995,18.5127,94.39930524695602,20.0,0.6666666666666666,0.966667,0.118696,58.68421052631579,60.199999999999996,0.8908333271741867,0.2578777713701129
CNN_ASCON,CNN,ASCON,standard,ascon,8,CNN_ASCON#8,1380,1380,4.6369,228.48086522462563,43.63259999999987,55.80375000000019,94.63726310154338,20.0,0.6666666666666666,0.933333,0.147536,58.526315789473685,60.199999999999996,0.8749999985098839,0.29046438885852693
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,CNN_NO_ASCON#2,1387,0,0.151,115.17315658657829,0.0,0.4631500000000002,0.0,20.0,0.6666666666666666,0.983333,0.061129,56.31578947368421,63.49999999999973,0.9241666585206986,0.27569092428311703
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,CNN_NO_ASCON#4,1428,0,0.163,116.03021148036254,0.0,0.9163500000000002,0.0,20.0,0.6666666666666666,1.0,0.033554,50.05263157894737,52.3,0.9643410804659821,0.14592226913897993
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,CNN_NO_ASCON#6,1403,0,0.14989999999999987,112.92477514309076,0.0,0.4855000000000001,0.0,20.0,0.6666666666666666,0.833333,0.314242,49.68421052631579,51.0,0.7999999955296516,0.4809463802725077
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,RN_FOG_ASCON#2,1402,1402,4.44095,231.0232945091514,52.11060000000002,71.18905000000007,92.4643266221459,20.0,0.6666666666666666,0.916667,0.137873,96.6842105263158,131.19999999999848,0.9291666612029076,0.19744088624138384
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,RN_FOG_ASCON#3,1403,1403,4.4197999999999995,232.1720698254364,50.315400000000004,80.69104999999999,92.04729464251915,20.0,0.6666666666666666,1.0,0.042478,69.21052631578948,79.8999999999996,0.9124999925494194,0.26355793108232317
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,RN_FOG_ASCON#4,1409,1409,4.421799999999999,233.04301075268816,57.649300000000004,43.48325000000003,91.62797077012222,20.0,0.6666666666666666,0.966667,0.104373,59.68421052631579,62.09999999999998,0.9483333274722099,0.1346042805642355
